Team1,Team2,Map,Result
Xi Lai Gaming,Titan Esports Club,Pearl,0
EDward Gaming,Titan Esports Club,Ascent,1
EDward Gaming,Titan Esports Club,Abyss,1
JDG Esports,Xi Lai Gaming,Abyss,0
JDG Esports,Xi Lai Gaming,Bind,0
Trace Esports,TYLOO,Pearl,1
Trace Esports,TYLOO,Split,1
Xi Lai Gaming,Wolves Esports,Pearl,0
Xi Lai Gaming,Wolves Esports,Bind,0
Xi Lai Gaming,Wolves Esports,Haven,0
Paper Rex,Wolves Esports,Split,0
Paper Rex,Wolves Esports,Bind,1
Paper Rex,Wolves Esports,Pearl,0
EDward Gaming,Xi Lai Gaming,Pearl,0
EDward Gaming,Xi Lai Gaming,Ascent,0
BBL Esports,GIANTX,Sunset,0
BBL Esports,GIANTX,Pearl,1
BBL Esports,GIANTX,Split,1
BBL Esports,GIANTX,Haven,1
DetonatioN FocusMe,Paper Rex,Ascent,0
DetonatioN FocusMe,Paper Rex,Haven,1
DetonatioN FocusMe,Paper Rex,Abyss,0
DetonatioN FocusMe,Paper Rex,Pearl,0
Team Liquid,GIANTX,Sunset,0
Team Liquid,GIANTX,Ascent,0
Paper Rex,Trace Esports,Split,1
Paper Rex,Trace Esports,Ascent,1
Paper Rex,Trace Esports,Sunset,1
Trace Esports,DRX,Sunset,1
Trace Esports,DRX,Split,1
DetonatioN FocusMe,Paper Rex,Split,1
DetonatioN FocusMe,Paper Rex,Ascent,1
DetonatioN FocusMe,Trace Esports,Ascent,0
DetonatioN FocusMe,Trace Esports,Abyss,1
DetonatioN FocusMe,Trace Esports,Haven,1
DRX,Paper Rex,Sunset,0
DRX,Paper Rex,Abyss,1
DRX,Paper Rex,Pearl,0
Rex Regum Qeon,Paper Rex,Haven,0
Rex Regum Qeon,Paper Rex,Abyss,1
Rex Regum Qeon,Paper Rex,Split,0
EDward Gaming,Paper Rex,Split,0
EDward Gaming,Paper Rex,Ascent,1
EDward Gaming,Paper Rex,Pearl,0
Trace Esports,Bilibili Gaming,Abyss,1
Trace Esports,Bilibili Gaming,Ascent,0
Trace Esports,Bilibili Gaming,Sunset,1
T1,Cloud9,Abyss,1
T1,Cloud9,Pearl,0
T1,Cloud9,Bind,1
T1,Cloud9,Haven,1
T1,FUT Esports,Bind,1
T1,FUT Esports,Pearl,0
T1,FUT Esports,Ascent,1
Rex Regum Qeon,DetonatioN FocusMe,Haven,1
Rex Regum Qeon,DetonatioN FocusMe,Pearl,0
Rex Regum Qeon,DetonatioN FocusMe,Ascent,0
Global Esports,All Gamers,Sunset,1
Global Esports,All Gamers,Haven,1
G2 Esports,Cloud9,Sunset,0
G2 Esports,Cloud9,Pearl,0
FNATIC,G2 Esports,Haven,0
FNATIC,G2 Esports,Bind,0
EDward Gaming,DetonatioN FocusMe,Ascent,1
EDward Gaming,DetonatioN FocusMe,Sunset,0
EDward Gaming,DetonatioN FocusMe,Abyss,0
DRX,Bilibili Gaming,Sunset,1
DRX,Bilibili Gaming,Haven,1
Trace Esports,Rex Regum Qeon,Ascent,0
Trace Esports,Rex Regum Qeon,Pearl,0
Global Esports,BOOM Esports,Ascent,0
Global Esports,BOOM Esports,Split,1
Global Esports,BOOM Esports,Bind,0
Bilibili Gaming,Wolves Esports,Sunset,1
Bilibili Gaming,Wolves Esports,Abyss,1
Bilibili Gaming,Wolves Esports,Bind,0
Bilibili Gaming,Wolves Esports,Ascent,1
Wolves Esports,FunPlus Phoenix,Abyss,1
Wolves Esports,FunPlus Phoenix,Haven,1
Wolves Esports,FunPlus Phoenix,Ascent,1
FunPlus Phoenix,Xi Lai Gaming,Sunset,1
FunPlus Phoenix,Xi Lai Gaming,Abyss,1
Wolves Esports,Bilibili Gaming,Split,1
Wolves Esports,Bilibili Gaming,Bind,0
Wolves Esports,Bilibili Gaming,Ascent,0
Nova Esports,FunPlus Phoenix,Haven,0
Nova Esports,FunPlus Phoenix,Sunset,1
Nova Esports,FunPlus Phoenix,Ascent,0
JDG Esports,Xi Lai Gaming,Sunset,0
JDG Esports,Xi Lai Gaming,Pearl,1
JDG Esports,Xi Lai Gaming,Bind,0
Bilibili Gaming,Nova Esports,Sunset,1
Bilibili Gaming,Nova Esports,Pearl,1
Wolves Esports,JDG Esports,Sunset,0
Wolves Esports,JDG Esports,Split,1
Wolves Esports,JDG Esports,Ascent,1
NRG Esports,Sentinels,Bind,1
NRG Esports,Sentinels,Haven,1
Sentinels,Evil Geniuses,Sunset,1
Sentinels,Evil Geniuses,Pearl,1
Xi Lai Gaming,Titan Esports Club,Pearl,1
Xi Lai Gaming,Titan Esports Club,Ascent,1
FunPlus Phoenix,TYLOO,Bind,1
FunPlus Phoenix,TYLOO,Sunset,1
T1,Trace Esports,Pearl,1
T1,Trace Esports,Bind,1
