Team1,Team2,Map,Result
NRG Esports,Evil Geniuses,Split,0
NRG Esports,Evil Geniuses,Ascent,0
LEVIATÁN,FURIA,Ascent,0
LEVIATÁN,FURIA,Pearl,1
LEVIATÁN,FURIA,Bind,0
Team Liquid,Team Vitality,Lotus,0
Team Liquid,Team Vitality,Bind,1
Team Liquid,Team Vitality,Ascent,1
DRX,Paper Rex,Fracture,0
DRX,Paper Rex,Bind,0
T1,ZETA DIVISION,Haven,1
T1,ZETA DIVISION,Bind,0
T1,ZETA DIVISION,Fracture,1
Bilibili Gaming,EDward Gaming,Haven,0
Bilibili Gaming,EDward Gaming,Bind,0
Bilibili Gaming,EDward Gaming,Ascent,0
MIBR,100 Thieves,Fracture,1
MIBR,100 Thieves,Pearl,0
MIBR,100 Thieves,Lotus,1
Paper Rex,T1,Lotus,1
Paper Rex,T1,Fracture,1
DRX,Team Secret,Haven,0
DRX,Team Secret,Split,1
DRX,Team Secret,Bind,1
LEVIATÁN,LOUD,Haven,0
LEVIATÁN,LOUD,Ascent,0
BBL Esports,FUT Esports,Pearl,0
BBL Esports,FUT Esports,Haven,0
Cloud9,KRÜ Esports,Lotus,1
Cloud9,KRÜ Esports,Ascent,0
Cloud9,KRÜ Esports,Split,1
KOI,Team Liquid,Fracture,0
KOI,Team Liquid,Split,1
KOI,Team Liquid,Lotus,0
EDward Gaming,FunPlus Phoenix,Bind,1
EDward Gaming,FunPlus Phoenix,Fracture,1
ZETA DIVISION,Team Secret,Ascent,0
NRG Esports,Evil Geniuses,Bind,1
NRG Esports,Evil Geniuses,Split,1
Sentinels,FURIA,Split,1
Sentinels,FURIA,Haven,0
Sentinels,FURIA,Bind,1
Team Heretics,Team Vitality,Haven,0
Team Heretics,Team Vitality,Lotus,0
Bilibili Gaming,FunPlus Phoenix,Pearl,1
Bilibili Gaming,FunPlus Phoenix,Ascent,1
FNATIC,Natus Vincere,Lotus,1
FNATIC,Natus Vincere,Split,1
EDward Gaming,Dragon Ranger Gaming,Pearl,1
EDward Gaming,Dragon Ranger Gaming,Fracture,1
Rex Regum Qeon,Paper Rex,Bind,0
Rex Regum Qeon,Paper Rex,Pearl,0
TALON,DetonatioN FocusMe,Lotus,1
TALON,DetonatioN FocusMe,Bind,1
LEVIATÁN,Cloud9,Lotus,0
LEVIATÁN,Cloud9,Haven,0
Team Secret,Global Esports,Haven,1
Team Secret,Global Esports,Lotus,1
T1,DRX,Bind,0
T1,DRX,Pearl,0
NRG Esports,LOUD,Split,1
NRG Esports,LOUD,Pearl,1
KRÜ Esports,Sentinels,Lotus,0
KRÜ Esports,Sentinels,Bind,0
TALON,Rex Regum Qeon,Split,1
TALON,Rex Regum Qeon,Ascent,0
TALON,Rex Regum Qeon,Haven,0
Evil Geniuses,MIBR,Lotus,1
Evil Geniuses,MIBR,Fracture,1
FURIA,100 Thieves,Pearl,1
FURIA,100 Thieves,Fracture,0
FURIA,100 Thieves,Haven,0
Global Esports,DetonatioN FocusMe,Lotus,1
Global Esports,DetonatioN FocusMe,Pearl,1
Team Secret,DRX,Haven,1
Team Secret,DRX,Ascent,1
KOI,Team Heretics,Fracture,1
KOI,Team Heretics,Lotus,0
KOI,Team Heretics,Ascent,1
BBL Esports,Team Liquid,Split,0
BBL Esports,Team Liquid,Ascent,1
BBL Esports,Team Liquid,Bind,0
ZETA DIVISION,T1,Fracture,0
ZETA DIVISION,T1,Lotus,1
ZETA DIVISION,T1,Bind,0
Karmine Corp,FNATIC,Haven,0
Karmine Corp,FNATIC,Lotus,0
FUT Esports,Natus Vincere,Pearl,0
KOI,FNATIC,Lotus,0
KOI,FNATIC,Ascent,0
NRG Esports,FURIA,Bind,1
NRG Esports,FURIA,Haven,0
NRG Esports,FURIA,Pearl,1
DRX,DetonatioN FocusMe,Fracture,1
DRX,DetonatioN FocusMe,Ascent,1
LEVIATÁN,KRÜ Esports,Haven,1
LEVIATÁN,KRÜ Esports,Split,1
LOUD,100 Thieves,Ascent,1
LOUD,100 Thieves,Split,1
Team Secret,T1,Lotus,0
Team Secret,T1,Bind,0
Rex Regum Qeon,Global Esports,Fracture,1
Rex Regum Qeon,Global Esports,Pearl,1
Cloud9,MIBR,Split,1
Cloud9,MIBR,Lotus,1
Evil Geniuses,Sentinels,Fracture,1
Evil Geniuses,Sentinels,Pearl,1
ZETA DIVISION,Paper Rex,Split,0
ZETA DIVISION,Paper Rex,Ascent,0
Natus Vincere,Team Liquid,Fracture,1
Natus Vincere,Team Liquid,Bind,1
KOI,BBL Esports,Pearl,1
KOI,BBL Esports,Ascent,0
KOI,BBL Esports,Bind,0
FUT Esports,Karmine Corp,Haven,1
FUT Esports,Karmine Corp,Ascent,1
Team Vitality,FNATIC,Haven,0
Team Vitality,FNATIC,Bind,0
LOUD,KRÜ Esports,Pearl,0
LOUD,KRÜ Esports,Ascent,1
LOUD,KRÜ Esports,Split,1
TALON,Paper Rex,Pearl,1
TALON,Paper Rex,Split,0
TALON,Paper Rex,Fracture,0
LEVIATÁN,Evil Geniuses,Split,0
LEVIATÁN,Evil Geniuses,Pearl,1
LEVIATÁN,Evil Geniuses,Ascent,0
Cloud9,Sentinels,Lotus,1
Cloud9,Sentinels,Fracture,1
Rex Regum Qeon,DRX,Haven,1
Rex Regum Qeon,DRX,Split,0
Rex Regum Qeon,DRX,Pearl,0
MIBR,FURIA,Pearl,0
MIBR,FURIA,Split,0
NRG Esports,100 Thieves,Bind,1
NRG Esports,100 Thieves,Fracture,1
ZETA DIVISION,Team Secret,Split,1
ZETA DIVISION,Team Secret,Lotus,0
ZETA DIVISION,Team Secret,Fracture,1
T1,DetonatioN FocusMe,Lotus,1
T1,DetonatioN FocusMe,Split,0
T1,DetonatioN FocusMe,Fracture,1
Team Vitality,Natus Vincere,Split,0
Team Vitality,Natus Vincere,Fracture,0
FUT Esports,FNATIC,Icebox,0
FUT Esports,FNATIC,Lotus,0
KOI,Karmine Corp,Lotus,0
KOI,Karmine Corp,Ascent,1
KOI,Karmine Corp,Haven,0
BBL Esports,Team Heretics,Haven,1
BBL Esports,Team Heretics,Lotus,0
BBL Esports,Team Heretics,Icebox,1
NRG Esports,KRÜ Esports,Haven,1
NRG Esports,KRÜ Esports,Ascent,1
Cloud9,FURIA,Ascent,1
Cloud9,FURIA,Fracture,1
Evil Geniuses,LOUD,Split,1
Evil Geniuses,LOUD,Haven,0
Evil Geniuses,LOUD,Pearl,0
LEVIATÁN,100 Thieves,Icebox,1
LEVIATÁN,100 Thieves,Haven,0
LEVIATÁN,100 Thieves,Lotus,0
ZETA DIVISION,TALON,Haven,0
ZETA DIVISION,TALON,Ascent,0
MIBR,Sentinels,Pearl,0
MIBR,Sentinels,Fracture,0
NRG Esports,Cloud9,Haven,1
NRG Esports,Cloud9,Pearl,0
NRG Esports,Cloud9,Ascent,0
Team Secret,DetonatioN FocusMe,Ascent,1
Team Secret,DetonatioN FocusMe,Haven,1
T1,Rex Regum Qeon,Haven,1
T1,Rex Regum Qeon,Fracture,1
Evil Geniuses,FURIA,Ascent,0
Evil Geniuses,FURIA,Fracture,1
Evil Geniuses,FURIA,Haven,0
KRÜ Esports,100 Thieves,Ascent,1
KRÜ Esports,100 Thieves,Split,0
KRÜ Esports,100 Thieves,Fracture,0
Paper Rex,Global Esports,Icebox,0
Paper Rex,Global Esports,Split,1
Paper Rex,Global Esports,Pearl,1
LEVIATÁN,MIBR,Pearl,1
LEVIATÁN,MIBR,Icebox,1
LOUD,Sentinels,Pearl,0
LOUD,Sentinels,Haven,1
LOUD,Sentinels,Ascent,1
BBL Esports,Team Vitality,Ascent,1
BBL Esports,Team Vitality,Haven,1
Karmine Corp,Natus Vincere,Ascent,0
Karmine Corp,Natus Vincere,Lotus,0
Team Heretics,Team Liquid,Split,0
Team Heretics,Team Liquid,Fracture,0
TYLOO,Nova Esports,Ascent,1
TYLOO,Nova Esports,Split,0
TYLOO,Nova Esports,Haven,1
LOUD,FURIA,Split,1
LOUD,FURIA,Icebox,1
TALON,Global Esports,Split,0
TALON,Global Esports,Icebox,0
Evil Geniuses,KRÜ Esports,Pearl,1
Evil Geniuses,KRÜ Esports,Ascent,0
Evil Geniuses,KRÜ Esports,Fracture,1
LEVIATÁN,Sentinels,Split,1
LEVIATÁN,Sentinels,Ascent,0
LEVIATÁN,Sentinels,Pearl,1
ZETA DIVISION,DetonatioN FocusMe,Ascent,1
ZETA DIVISION,DetonatioN FocusMe,Haven,1
NRG Esports,MIBR,Icebox,0
NRG Esports,MIBR,Pearl,1
NRG Esports,MIBR,Split,0
Cloud9,100 Thieves,Lotus,1
Cloud9,100 Thieves,Ascent,1
Team Secret,Rex Regum Qeon,Icebox,0
Team Secret,Rex Regum Qeon,Split,0
Paper Rex,DRX,Ascent,0
Paper Rex,DRX,Split,0
Team Vitality,Karmine Corp,Ascent,1
Team Vitality,Karmine Corp,Split,1
Team Liquid,FNATIC,Lotus,0
Team Liquid,FNATIC,Haven,0
KOI,FUT Esports,Ascent,0
FunPlus Phoenix,Dragon Ranger Gaming,Pearl,1
FunPlus Phoenix,Dragon Ranger Gaming,Lotus,1
Natus Vincere,Team Heretics,Pearl,1
Natus Vincere,Team Heretics,Lotus,0
Natus Vincere,Team Heretics,Ascent,1
EDward Gaming,FunPlus Phoenix,Lotus,1
EDward Gaming,FunPlus Phoenix,Ascent,0
EDward Gaming,FunPlus Phoenix,Pearl,1
Evil Geniuses,100 Thieves,Haven,0
Evil Geniuses,100 Thieves,Icebox,0
MIBR,KRÜ Esports,Ascent,0
MIBR,KRÜ Esports,Lotus,1
MIBR,KRÜ Esports,Pearl,1
NRG Esports,Sentinels,Lotus,1
NRG Esports,Sentinels,Icebox,1
TALON,DRX,Split,0
TALON,DRX,Pearl,0
ZETA DIVISION,Global Esports,Pearl,0
ZETA DIVISION,Global Esports,Ascent,1
ZETA DIVISION,Global Esports,Haven,1
LEVIATÁN,FURIA,Pearl,1
LEVIATÁN,FURIA,Icebox,0
LEVIATÁN,FURIA,Ascent,0
Cloud9,LOUD,Split,1
Cloud9,LOUD,Ascent,0
Cloud9,LOUD,Pearl,0
T1,Paper Rex,Pearl,0
T1,Paper Rex,Fracture,0
Rex Regum Qeon,DetonatioN FocusMe,Haven,1
Rex Regum Qeon,DetonatioN FocusMe,Pearl,1
Team Liquid,Karmine Corp,Ascent,1
Team Liquid,Karmine Corp,Split,1
FNATIC,Team Heretics,Icebox,1
FNATIC,Team Heretics,Ascent,1
Natus Vincere,BBL Esports,Ascent,1
Natus Vincere,BBL Esports,Fracture,1
Team Vitality,FUT Esports,Lotus,0
Team Vitality,FUT Esports,Haven,0
LEVIATÁN,NRG Esports,Pearl,1
LEVIATÁN,NRG Esports,Lotus,1
Global Esports,DRX,Haven,0
Global Esports,DRX,Split,0
Evil Geniuses,Cloud9,Pearl,0
Evil Geniuses,Cloud9,Fracture,0
LOUD,MIBR,Split,1
LOUD,MIBR,Lotus,0
LOUD,MIBR,Haven,1
Bilibili Gaming,TYLOO,Lotus,1
Bilibili Gaming,TYLOO,Haven,1
Team Secret,Paper Rex,Haven,0
Team Secret,Paper Rex,Fracture,1
Team Secret,Paper Rex,Split,1
KRÜ Esports,FURIA,Split,0
KRÜ Esports,FURIA,Ascent,0
Sentinels,100 Thieves,Fracture,1
Sentinels,100 Thieves,Split,0
Sentinels,100 Thieves,Ascent,1
TALON,T1,Ascent,0
TALON,T1,Haven,0
ZETA DIVISION,Rex Regum Qeon,Haven,0
ZETA DIVISION,Rex Regum Qeon,Ascent,1
ZETA DIVISION,Rex Regum Qeon,Lotus,1
Team Heretics,Karmine Corp,Icebox,1
Team Heretics,Karmine Corp,Split,1
FNATIC,BBL Esports,Ascent,0
FNATIC,BBL Esports,Haven,1
FNATIC,BBL Esports,Split,1
Dragon Ranger Gaming,EDward Gaming,Haven,0
Dragon Ranger Gaming,EDward Gaming,Icebox,1
Dragon Ranger Gaming,EDward Gaming,Ascent,0
KOI,Team Vitality,Split,0
KOI,Team Vitality,Fracture,0
Team Liquid,FUT Esports,Lotus,0
Team Liquid,FUT Esports,Split,1
Team Liquid,FUT Esports,Ascent,1
Karmine Corp,BBL Esports,Icebox,1
Karmine Corp,BBL Esports,Split,1
EDward Gaming,TYLOO,Ascent,1
EDward Gaming,TYLOO,Lotus,1
Team Liquid,Team Vitality,Haven,0
Team Liquid,Team Vitality,Fracture,1
Team Liquid,Team Vitality,Lotus,0
Team Heretics,FUT Esports,Pearl,0
Team Heretics,FUT Esports,Lotus,0
KOI,Natus Vincere,Ascent,1
KOI,Natus Vincere,Lotus,1
Team Secret,TALON,Ascent,1
Team Secret,TALON,Icebox,0
Team Secret,TALON,Fracture,1
Paper Rex,DetonatioN FocusMe,Pearl,1
Paper Rex,DetonatioN FocusMe,Lotus,1
Dragon Ranger Gaming,Bilibili Gaming,Ascent,1
Dragon Ranger Gaming,Bilibili Gaming,Lotus,0
Dragon Ranger Gaming,Bilibili Gaming,Haven,1
T1,Global Esports,Pearl,1
T1,Global Esports,Haven,0
T1,Global Esports,Lotus,1
ZETA DIVISION,DRX,Ascent,0
ZETA DIVISION,DRX,Pearl,0
Bilibili Gaming,EDward Gaming,Lotus,0
Bilibili Gaming,EDward Gaming,Haven,0
Dragon Ranger Gaming,TYLOO,Haven,0
Dragon Ranger Gaming,TYLOO,Ascent,0
LOUD,FNATIC,Ascent,0
LOUD,FNATIC,Fracture,0
LOUD,FNATIC,Split,1
LOUD,FNATIC,Lotus,1
LOUD,FNATIC,Icebox,0
Natus Vincere,FNATIC,Haven,0
Natus Vincere,FNATIC,Lotus,0
Natus Vincere,FNATIC,Fracture,0
LOUD,DRX,Pearl,1
LOUD,DRX,Icebox,1
LOUD,DRX,Split,0
LOUD,DRX,Fracture,0
LOUD,DRX,Ascent,1
100 Thieves,FNATIC,Fracture,0
100 Thieves,FNATIC,Icebox,0
Natus Vincere,LEVIATÁN,Ascent,1
Natus Vincere,LEVIATÁN,Fracture,1
FNATIC,FURIA,Haven,1
FNATIC,FURIA,Ascent,1
FUT Esports,100 Thieves,Lotus,1
FUT Esports,100 Thieves,Haven,0
FUT Esports,100 Thieves,Icebox,0
LEVIATÁN,Team Vitality,Haven,1
LEVIATÁN,Team Vitality,Pearl,1
Team Secret,Natus Vincere,Icebox,0
Team Secret,Natus Vincere,Pearl,0
T1,FURIA,Icebox,0
Sentinels,FNATIC,Haven,0
Sentinels,FNATIC,Split,0
TYLOO,Bilibili Gaming,Icebox,0
TYLOO,Bilibili Gaming,Haven,1
TYLOO,Bilibili Gaming,Ascent,1
100 Thieves,EDward Gaming,Icebox,1
100 Thieves,EDward Gaming,Lotus,0
100 Thieves,EDward Gaming,Pearl,1
FUT Esports,Rex Regum Qeon,Lotus,1
FUT Esports,Rex Regum Qeon,Pearl,1
Team Vitality,Global Esports,Split,1
Team Vitality,Global Esports,Pearl,0
Team Vitality,Global Esports,Lotus,1
ZETA DIVISION,LEVIATÁN,Ascent,0
ZETA DIVISION,LEVIATÁN,Pearl,0
Natus Vincere,KRÜ Esports,Ascent,1
Natus Vincere,KRÜ Esports,Lotus,1
Team Liquid,Team Secret,Icebox,0
Team Liquid,Team Secret,Fracture,0
DRX,TALON,Fracture,0
DRX,TALON,Ascent,1
DRX,TALON,Icebox,1
NRG Esports,LOUD,Split,0
NRG Esports,LOUD,Pearl,1
NRG Esports,LOUD,Fracture,0
Evil Geniuses,TALON,Haven,0
Evil Geniuses,TALON,Split,0
DRX,Cloud9,Pearl,0
DRX,Cloud9,Haven,1
DRX,Cloud9,Icebox,1
LOUD,Karmine Corp,Pearl,1
LOUD,Karmine Corp,Split,1
MIBR,TALON,Haven,0
MIBR,TALON,Fracture,0
Team Heretics,Evil Geniuses,Pearl,0
Team Heretics,Evil Geniuses,Ascent,0
Cloud9,Paper Rex,Lotus,1
Cloud9,Paper Rex,Pearl,1
BBL Esports,DRX,Pearl,0
BBL Esports,DRX,Ascent,1
BBL Esports,DRX,Haven,0
FunPlus Phoenix,Karmine Corp,Lotus,0
FunPlus Phoenix,Karmine Corp,Haven,1
FunPlus Phoenix,Karmine Corp,Pearl,0
KOI,NRG Esports,Icebox,0
KOI,NRG Esports,Haven,0
100 Thieves,Cloud9,Bind,1
100 Thieves,Cloud9,Fracture,1
100 Thieves,Cloud9,Icebox,1
Cloud9,KRÜ Esports,Bind,1
Cloud9,KRÜ Esports,Haven,1
100 Thieves,Team Vitality,Pearl,1
100 Thieves,Team Vitality,Fracture,1
Team Liquid,KRÜ Esports,Bind,0
Team Liquid,KRÜ Esports,Ascent,0
Team Vitality,Team Heretics,Haven,1
Team Vitality,Team Heretics,Pearl,1
Team Vitality,Cloud9,Fracture,0
Team Vitality,Cloud9,Haven,0
Team Heretics,Team Liquid,Icebox,0
Team Heretics,Team Liquid,Ascent,0
100 Thieves,FUT Esports,Haven,1
100 Thieves,FUT Esports,Bind,1
Team Liquid,100 Thieves,Haven,0
Team Liquid,100 Thieves,Ascent,1
Team Liquid,100 Thieves,Breeze,0
KRÜ Esports,Cloud9,Ascent,0
Team Heretics,FUT Esports,Bind,1
Team Heretics,FUT Esports,Ascent,1
Team Liquid,FUT Esports,Bind,1
Team Liquid,FUT Esports,Icebox,1
Team Vitality,KRÜ Esports,Haven,1
Team Vitality,KRÜ Esports,Pearl,1
100 Thieves,Team Heretics,Ascent,0
100 Thieves,Team Heretics,Haven,1
100 Thieves,Team Heretics,Fracture,1
LEVIATÁN,MIBR,Haven,0
LEVIATÁN,MIBR,Fracture,1
LEVIATÁN,MIBR,Ascent,1
LEVIATÁN,MIBR,Breeze,1
MIBR,LEVIATÁN,Haven,0
MIBR,LEVIATÁN,Breeze,1
MIBR,LEVIATÁN,Ascent,0
Natus Vincere,Team Vitality,Pearl,1
Natus Vincere,Team Vitality,Breeze,1
DRX,TALON,Icebox,1
DRX,TALON,Ascent,1
DRX,TALON,Haven,1
TALON,ZETA DIVISION,Icebox,1
TALON,ZETA DIVISION,Ascent,1
Team Heretics,Paper Rex,Bind,0
Team Heretics,Paper Rex,Fracture,1
Team Heretics,Paper Rex,Breeze,0
Team Heretics,Paper Rex,Ascent,0
Paper Rex,Team Secret,Pearl,1
Paper Rex,Team Secret,Icebox,0
Paper Rex,Team Secret,Ascent,1
Team Heretics,KOI,Ascent,1
Team Heretics,KOI,Icebox,1
Team Heretics,KOI,Haven,1
KRÜ Esports,KOI,Icebox,0
KRÜ Esports,KOI,Ascent,0
LEVIATÁN,KOI,Haven,0
LEVIATÁN,KOI,Bind,1
LEVIATÁN,KOI,Ascent,1
Team Secret,DRX,Haven,0
Team Secret,DRX,Ascent,0
KOI,Team Heretics,Bind,1
KOI,Team Heretics,Breeze,1
FunPlus Phoenix,DRX,Icebox,0
FunPlus Phoenix,DRX,Haven,0
DRX,FNATIC,Icebox,0
DRX,FNATIC,Ascent,1
DRX,FNATIC,Fracture,1
DRX,LOUD,Breeze,0
DRX,LOUD,Haven,0
Team Liquid,FNATIC,Bind,0
Team Liquid,FNATIC,Haven,0
FunPlus Phoenix,LEVIATÁN,Icebox,1
FunPlus Phoenix,LEVIATÁN,Ascent,1
DRX,FunPlus Phoenix,Ascent,1
DRX,FunPlus Phoenix,Breeze,1
LEVIATÁN,LOUD,Icebox,0
LEVIATÁN,LOUD,Haven,0
100 Thieves,FNATIC,Bind,0
100 Thieves,FNATIC,Ascent,0
FunPlus Phoenix,KRÜ Esports,Icebox,1
FunPlus Phoenix,KRÜ Esports,Ascent,1
LOUD,ZETA DIVISION,Bind,1
LOUD,ZETA DIVISION,Ascent,1
Paper Rex,Team Liquid,Haven,0
Paper Rex,Team Liquid,Pearl,1
Paper Rex,Team Liquid,Ascent,0
FURIA,FNATIC,Icebox,1
FURIA,FNATIC,Breeze,0
FURIA,FNATIC,Haven,0
EDward Gaming,Team Liquid,Bind,0
EDward Gaming,Team Liquid,Breeze,0
BOOM Esports,ZETA DIVISION,Haven,1
BOOM Esports,ZETA DIVISION,Pearl,0
BOOM Esports,ZETA DIVISION,Fracture,0
DRX,100 Thieves,Breeze,1
DRX,100 Thieves,Fracture,1
FunPlus Phoenix,KRÜ Esports,Icebox,1
FunPlus Phoenix,KRÜ Esports,Bind,1
FNATIC,100 Thieves,Pearl,0
FNATIC,100 Thieves,Bind,1
FNATIC,100 Thieves,Haven,0
DRX,FURIA,Ascent,1
DRX,FURIA,Haven,1
Paper Rex,LEVIATÁN,Haven,0
Paper Rex,LEVIATÁN,Bind,0
ZETA DIVISION,LOUD,Ascent,0
ZETA DIVISION,LOUD,Fracture,0
LEVIATÁN,Team Liquid,Haven,1
LEVIATÁN,Team Liquid,Ascent,1
Paper Rex,EDward Gaming,Pearl,1
Paper Rex,EDward Gaming,Icebox,0
Paper Rex,EDward Gaming,Haven,1
FURIA,KRÜ Esports,Breeze,0
FURIA,KRÜ Esports,Ascent,0
FURIA,KRÜ Esports,Icebox,0
Team Liquid,G2 Esports,Bind,0
Team Liquid,G2 Esports,Icebox,1
Team Liquid,G2 Esports,Haven,1
100 Thieves,Cloud9,Ascent,1
100 Thieves,Cloud9,Fracture,1
Cloud9,NRG Esports,Breeze,1
Cloud9,NRG Esports,Icebox,1
100 Thieves,Sentinels,Fracture,0
100 Thieves,Sentinels,Breeze,1
100 Thieves,Sentinels,Haven,1
Natus Vincere,G2 Esports,Bind,0
Natus Vincere,G2 Esports,Haven,0
Team Liquid,Natus Vincere,Breeze,1
Team Liquid,Natus Vincere,Fracture,1
Team Liquid,BBL Esports,Ascent,1
Team Liquid,BBL Esports,Icebox,1
Evil Geniuses,NRG Esports,Bind,0
Evil Geniuses,NRG Esports,Icebox,0
NRG Esports,100 Thieves,Icebox,1
NRG Esports,100 Thieves,Bind,0
NRG Esports,100 Thieves,Ascent,0
Team Vitality,FUT Esports,Breeze,1
Team Vitality,FUT Esports,Bind,1
Team Vitality,FUT Esports,Ascent,0
Team Vitality,FUT Esports,Icebox,0
Team Vitality,FUT Esports,Split,0
FUT Esports,Team Vitality,Haven,0
FUT Esports,Team Vitality,Ascent,0
Paper Rex,FunPlus Phoenix,Bind,0
Paper Rex,FunPlus Phoenix,Icebox,1
Paper Rex,FunPlus Phoenix,Fracture,0
Paper Rex,FunPlus Phoenix,Haven,1
Paper Rex,FunPlus Phoenix,Breeze,0
FunPlus Phoenix,FNATIC,Split,0
FunPlus Phoenix,FNATIC,Bind,1
FunPlus Phoenix,FNATIC,Fracture,1
DRX,FunPlus Phoenix,Ascent,0
DRX,FunPlus Phoenix,Fracture,0
FNATIC,LEVIATÁN,Fracture,1
FNATIC,LEVIATÁN,Ascent,0
FNATIC,LEVIATÁN,Bind,1
Paper Rex,FNATIC,Ascent,1
Paper Rex,FNATIC,Bind,1
LEVIATÁN,DRX,Ascent,1
LEVIATÁN,DRX,Breeze,0
LEVIATÁN,DRX,Haven,0
FNATIC,FunPlus Phoenix,Icebox,1
FNATIC,FunPlus Phoenix,Haven,1
FunPlus Phoenix,DRX,Haven,1
FunPlus Phoenix,DRX,Fracture,0
FunPlus Phoenix,DRX,Breeze,0
LOUD,KRÜ Esports,Fracture,1
LOUD,KRÜ Esports,Haven,0
LOUD,KRÜ Esports,Icebox,0
Team Vitality,Karmine Corp,Icebox,1
Team Vitality,Karmine Corp,Haven,0
Team Vitality,Karmine Corp,Ascent,1
Team Vitality,Karmine Corp,Bind,0
Team Vitality,Karmine Corp,Breeze,1
EDward Gaming,TYLOO,Ascent,1
EDward Gaming,TYLOO,Bind,1
KRÜ Esports,LEVIATÁN,Haven,0
KRÜ Esports,LEVIATÁN,Ascent,0
KRÜ Esports,LEVIATÁN,Split,0
FNATIC,FunPlus Phoenix,Split,1
FNATIC,FunPlus Phoenix,Icebox,1
FNATIC,FunPlus Phoenix,Haven,1
Paper Rex,Team Secret,Ascent,1
Paper Rex,Team Secret,Bind,1
Evil Geniuses,NRG Esports,Bind,1
Evil Geniuses,NRG Esports,Ascent,0
Evil Geniuses,NRG Esports,Split,0
FNATIC,FunPlus Phoenix,Icebox,1
FNATIC,FunPlus Phoenix,Ascent,0
FNATIC,FunPlus Phoenix,Fracture,1
Team Liquid,FunPlus Phoenix,Split,0
Team Liquid,FunPlus Phoenix,Icebox,1
Team Liquid,FunPlus Phoenix,Haven,0
Rex Regum Qeon,Global Esports,Split,1
Rex Regum Qeon,Global Esports,Ascent,0
Rex Regum Qeon,Global Esports,Haven,1
Paper Rex,BOOM Esports,Haven,1
Paper Rex,BOOM Esports,Fracture,1
Cloud9,Sentinels,Haven,1
Cloud9,Sentinels,Ascent,1
FNATIC,G2 Esports,Icebox,1
FNATIC,G2 Esports,Split,0
FNATIC,G2 Esports,Bind,1
KRÜ Esports,LEVIATÁN,Bind,1
KRÜ Esports,LEVIATÁN,Haven,1
NRG Esports,100 Thieves,Icebox,0
NRG Esports,100 Thieves,Bind,0
Natus Vincere,Team Liquid,Haven,0
Natus Vincere,Team Liquid,Bind,1
Natus Vincere,Team Liquid,Split,0
LEVIATÁN,KRÜ Esports,Haven,1
LEVIATÁN,KRÜ Esports,Breeze,0
LEVIATÁN,KRÜ Esports,Ascent,0
Team Secret,Rex Regum Qeon,Ascent,1
Team Secret,Rex Regum Qeon,Split,1
EDward Gaming,TYLOO,Ascent,1
EDward Gaming,TYLOO,Split,1
Evil Geniuses,Sentinels,Ascent,1
Evil Geniuses,Sentinels,Icebox,1
FunPlus Phoenix,G2 Esports,Fracture,1
FunPlus Phoenix,G2 Esports,Ascent,1
BBL Esports,Team Liquid,Fracture,0
BBL Esports,Team Liquid,Split,0
Cloud9,Evil Geniuses,Icebox,1
Cloud9,Evil Geniuses,Fracture,1
LOUD,FURIA,Ascent,1
LOUD,FURIA,Breeze,1
FNATIC,FunPlus Phoenix,Fracture,1
FNATIC,FunPlus Phoenix,Ascent,0
FNATIC,FunPlus Phoenix,Icebox,1
Team Secret,Rex Regum Qeon,Bind,1
Team Secret,Rex Regum Qeon,Split,0
Team Secret,Rex Regum Qeon,Ascent,1
BBL Esports,Natus Vincere,Ascent,0
BBL Esports,Natus Vincere,Icebox,1
BBL Esports,Natus Vincere,Fracture,1
Team Secret,Rex Regum Qeon,Icebox,0
Team Secret,Rex Regum Qeon,Haven,1
Team Secret,Rex Regum Qeon,Split,0
Evil Geniuses,100 Thieves,Bind,0
Evil Geniuses,100 Thieves,Split,0
ZETA DIVISION,Paper Rex,Icebox,0
ZETA DIVISION,Paper Rex,Haven,1
ZETA DIVISION,Paper Rex,Split,1
G2 Esports,Paper Rex,Split,0
G2 Esports,Paper Rex,Bind,0
DRX,ZETA DIVISION,Icebox,0
DRX,ZETA DIVISION,Ascent,1
DRX,ZETA DIVISION,Split,0
G2 Esports,LOUD,Ascent,0
G2 Esports,LOUD,Breeze,0
ZETA DIVISION,Team Liquid,Fracture,1
ZETA DIVISION,Team Liquid,Haven,0
ZETA DIVISION,Team Liquid,Split,1
Paper Rex,DRX,Haven,1
Paper Rex,DRX,Bind,0
Paper Rex,DRX,Ascent,0
LOUD,Team Liquid,Icebox,1
LOUD,Team Liquid,Haven,0
LOUD,Team Liquid,Ascent,1
G2 Esports,ZETA DIVISION,Split,1
G2 Esports,ZETA DIVISION,Bind,1
FNATIC,ZETA DIVISION,Fracture,0
FNATIC,ZETA DIVISION,Icebox,0
KRÜ Esports,Team Liquid,Fracture,0
KRÜ Esports,Team Liquid,Ascent,0
DRX,ZETA DIVISION,Icebox,1
DRX,ZETA DIVISION,Haven,1
LEVIATÁN,KRÜ Esports,Breeze,0
LEVIATÁN,KRÜ Esports,Haven,1
LEVIATÁN,KRÜ Esports,Ascent,1
LEVIATÁN,KRÜ Esports,Fracture,0
LEVIATÁN,KRÜ Esports,Split,0
FunPlus Phoenix,G2 Esports,Icebox,1
FunPlus Phoenix,G2 Esports,Breeze,0
